Period Time,Close,Volume
1,11.119999885559,4864322
2,10.7600002288818,5520210
3,10.9200000762939,7038886
4,11.4200000762939,7282602
5,11.4399995803833,7075356
6,11.4499998092651,5626819
7,11.3199996948242,5579050
8,11.0200004577636,9052957
9,11.1099996566772,4987451
10,11.3599996566772,5274492
11,11.9899997711181,15516919
12,11.9899997711181,9136485
13,11.8900003433227,5238927
14,11.6099996566772,8977777
15,11.9499998092651,3636771
16,11.9499998092651,4484099
17,11.8800001144409,7243066
18,12.4200000762939,9280424
19,12.3800001144409,5649680
20,12.4700002670288,6171028
21,12.4300003051757,7725094
22,12.6999998092651,5740625
23,12.6599998474121,3606942
24,12.6599998474121,5495031
25,12.7299995422363,7375604
26,12.6099996566772,4553178
27,12.5900001525878,4645576
28,12.4899997711181,5839825
29,12.2100000381469,10162051
30,12.3000001907348,4837911
31,12.6899995803833,7170844
32,12.5,5119397
33,12.0200004577636,8023518
34,12.4899997711181,5488408
35,12.5,4927436
36,12.2200002670288,6399696
37,12.1999998092651,14661270
38,12.7799997329711,19668458
39,12.9600000381469,21296220
40,12.4200000762939,3394390
41,12.6000003814697,5933336
42,13.119999885559,14513281
43,12.6899995803833,5517982
44,12.829999923706,28080062
45,12.9399995803833,8825369
46,12.8500003814697,10383450
47,12.9799995422363,28749968
48,12.9399995803833,29635394
49,13.369999885559,25386768
50,13.75,34784084
51,13.539999961853,55251620
52,13.4200000762939,31187738
53,13.039999961853,6415538
54,13.039999961853,7112268
55,12.8199996948242,20656004
56,13.2600002288818,59868096
57,13.4300003051757,34348792
58,13.0200004577636,11483908
59,12.75,12361783
60,12.8599996566772,31622784
61,13.0600004196167,9276018
62,13.3599996566772,11143256
63,13.4700002670288,6744348
64,13.3400001525878,8763364
65,13.579999923706,7308815
66,13.4399995803833,5275414
67,12.9200000762939,7838139
68,13.0100002288818,7019708
69,12.9499998092651,7736590
70,12.8800001144409,7018600
71,12.8800001144409,5303870
72,13.1000003814697,7832604
73,13.579999923706,5418309
74,13.4399995803833,8449242
75,12.8000001907348,32443764
76,13.1899995803833,10532159
77,13.0200004577636,5697592
78,12.9099998474121,5802967
79,12.8500003814697,11572099
80,12.8599996566772,7885379
81,13.0699996948242,7548277
82,13,9547072
83,12.9099998474121,5790510
84,12.8800001144409,5673373
85,13.0600004196167,12028947
86,13.0600004196167,6017396
87,12.7299995422363,9245270
88,12.3000001907348,21810908
89,12.4799995422363,7636201
90,11.9899997711181,10103175
91,12.4799995422363,7898501
92,12.8000001907348,9982022
93,13.1999998092651,8073575
94,13.079999923706,9578495
95,13.1800003051757,6827236
96,13.1999998092651,6865185
97,13.7299995422363,22351824
98,13.4499998092651,16716023
99,13.9499998092651,8959159
100,14.1999998092651,11127304
101,13.6000003814697,62670100
102,13.5500001907348,6642589
103,13.2200002670288,11057778
104,13.3000001907348,9757755
105,13.5100002288818,17533412
106,13.6099996566772,9326126
107,13.75,8149795
108,14.0500001907348,18899292
109,14,8631613
110,13.9600000381469,8968580
111,13.829999923706,9026618
112,14.0200004577636,8178691
113,14.079999923706,5363610
114,14.0600004196167,5180986
115,13.6000003814697,11473845
116,13.6999998092651,4329718
117,13.6499996185302,5404044
118,13.579999923706,7230334
119,13.5100002288818,6111541
120,13.4300003051757,6874324
121,13.5500001907348,6626306
122,13.3000001907348,11633007
123,13.0500001907348,10501840
124,13.1599998474121,5637876
125,13.1800003051757,5082951
126,13.3900003433227,7299894
127,13.4200000762939,6385975
128,13.1499996185302,5067919
129,13.3800001144409,4607412
130,13.3800001144409,5517382
131,13.329999923706,4366959
132,13.3800001144409,10692743
133,13.6000003814697,3867025
134,13.6300001144409,4899817
135,13.25,6071830
136,13.329999923706,5155009
137,13.3000001907348,7858450
138,13.329999923706,13605302
139,13.3000001907348,11395356
140,13.3500003814697,1915991
141,13.3100004196167,9469358
142,13.4499998092651,6711378
143,13.369999885559,3613969
144,13.4399995803833,6459061
145,13.5200004577636,5698921
146,13.4899997711181,4613624
147,13.6999998092651,9877171
148,13.6400003433227,11372530
149,13.8599996566772,15089725
150,13.8000001907348,4046504
151,13.869999885559,9882328
152,13.9899997711181,8106372
153,14.1400003433227,9307600
154,14.0900001525878,6556649
155,14.2600002288818,5846702
156,14.2100000381469,9065966
157,14.3800001144409,7067943
158,14.25,5514474
159,14.4099998474121,17578034
160,14.2600002288818,11957425
161,14.25,5233270
162,14.2600002288818,7174499
163,14.289999961853,5911898
164,14.1499996185302,8379344
165,14.119999885559,10166010
166,13.8999996185302,10886839
167,14.0299997329711,20531476
168,13.9399995803833,7667378
169,13.9499998092651,9571557
170,14.0699996948242,11666932
171,14.1599998474121,42819076
172,14.1599998474121,29848724
173,14.039999961853,28678958
174,14.1899995803833,20715978
175,14.3000001907348,35620412
176,14.1599998474121,23765172
177,14.0699996948242,35003516
178,14.079999923706,30363540
179,14.079999923706,27192500
180,14.0500001907348,10206977
181,14.1000003814697,10514220
182,14.0699996948242,2921079
183,14.1999998092651,10441925
184,14.1300001144409,7214532
185,14.2100000381469,5338214
186,14.1400003433227,4474847
187,14.1999998092651,5493850
188,14.25,6943643
189,14.2100000381469,4432893
190,14.1899995803833,8571883
191,14.2700004577636,4132466
192,14.119999885559,11123678
193,14.1999998092651,5164993
194,14.3999996185302,6983486
195,14.6300001144409,14969328
196,14.6700000762939,6826298
197,14.6300001144409,3217307
198,14.9099998474121,7648857
199,15.0900001525878,13791290
200,15.1400003433227,7122664
