Periode Time,Close
1,8700
2,8650
3,8550
4,8525
5,8450
6,8600
7,8525
8,8525
9,8600
10,8650
11,8700
12,8875
13,8700
14,8825
15,9000
16,9075
17,8850
18,8800
19,8850
20,8650
21,8725
22,8525
23,8650
24,8825
25,8900
26,8950
27,9000
28,8950
29,8850
30,8700
31,8825
32,8950
33,9125
34,9500
35,9425
36,9425
37,9525
38,9800
39,9825
40,9800
41,9725
42,9500
43,9600
44,9550
45,9650
46,9750
47,9750
48,9750
49,9725
50,9850
51,9750
52,9800
53,9775
54,9675
55,9650
56,9800
57,9650
58,9900
59,9800
60,9900
61,9975
62,9975
63,10100
64,10150
65,10200
66,10350
67,10350
68,10325
69,10200
70,10150
71,10400
72,10300
73,10325
74,10300
75,10425
76,10150
77,10300
78,10225
79,10125
80,10025
81,10150
82,10075
83,10175
84,10175
85,10000
86,10150
87,10175
88,10100
89,10225
90,10175
91,10200
92,10200
93,10525
94,10450
95,10450
96,10400
97,10350
98,10475
99,10500
100,10500
101,10400
102,10425
103,10075
104,10000
105,10100
106,10100
107,10375
108,10250
109,10475
110,10275
111,10275
112,10325
113,10300
114,10300
115,10275
116,10300
117,10300
118,10200
119,10350
120,10350
121,10300
122,10225
123,10225
124,10175
125,10050
126,10125
127,9900
128,9850
129,9725
130,9750
131,9975
132,9800
133,9800
134,9750
135,9650
136,9650
137,9325
138,9400
139,9550
140,9625
141,9700
142,9975
143,9975
144,10100
145,9975
146,9875
147,9975
148,9975
149,10200
150,10125
151,10075
152,10075
153,10200
154,10050
155,10250
156,10250
157,10225
158,10200
159,10200
160,10250
161,10575
162,10400
163,10750
164,10800
165,10875
166,11025
167,11000
168,10900
169,10975
170,10875
171,11000
172,11000
173,11000
174,10950
175,11000
176,11175
177,11200
178,11200
179,11200
180,11175
181,11200
182,11700
183,11550
184,11300
185,11300
186,11300
187,11375
188,11300
189,11250
190,11300
191,11325
192,11200
193,11250
194,11200
195,11325
196,11175
197,11175
198,11325
199,11325
200,11575
201,11475
202,11450
203,11400
204,11275
205,11325
206,11525
207,11650
208,11700
209,11775
210,11650
211,11750
212,11475
213,11500
214,11525
215,11225
216,11175
217,11175
218,11200
219,11200
220,11075
221,11175
222,11200
223,11250
224,11125
225,11150
226,11100
227,11450
228,11475
229,11400
230,11475
231,11675
232,11700
233,11675
234,11525
235,11500
236,11350
237,11425
238,11300
239,11375
240,11250
241,11200
242,11200
