Date,Close
9/3/2018,8850
9/10/2018,8925
9/17/2018,8950
9/24/2018,8825
10/1/2018,8800
10/8/2018,8725
10/15/2018,8775
10/22/2018,8775
10/29/2018,8925
11/5/2018,8575
11/12/2018,8775
11/19/2018,8925
11/26/2018,9850
12/3/2018,9700
12/10/2018,10100
12/17/2018,10525
12/24/2018,10450
12/31/2018,10600
1/7/2019,10150
1/14/2019,10150
1/21/2019,10750
1/28/2019,10750
2/4/2019,10600
2/11/2019,10425
2/18/2019,10400
2/25/2019,10300
3/4/2019,10250
3/11/2019,10425
3/18/2019,10325
3/25/2019,9325
4/1/2019,9075
4/8/2019,9050
4/15/2019,9100
4/22/2019,9175
4/29/2019,9625
5/6/2019,9825
5/13/2019,9300
5/20/2019,9700
5/27/2019,9800
6/3/2019,9800
6/10/2019,9975
6/17/2019,10025
6/24/2019,10150
7/1/2019,10100
7/8/2019,10275
7/15/2019,10850
7/22/2019,10575
7/29/2019,10850
8/5/2019,11300
8/12/2019,11625
8/19/2019,11775
8/26/2019,12050
9/2/2019,11900
9/9/2019,11600
9/16/2019,11950
9/23/2019,11950
9/30/2019,12225
10/7/2019,11625
10/14/2019,11275
10/21/2019,11425
10/28/2019,11625
11/4/2019,11275
11/11/2019,11400
11/18/2019,11425
11/25/2019,11325
12/2/2019,11425
12/9/2019,11450
12/16/2019,11525
12/23/2019,11175
12/30/2019,11250
1/6/2020,11525
1/13/2020,11575
1/20/2020,11700
1/27/2020,11375
2/3/2020,11500
2/10/2020,10775
2/17/2020,10950
2/24/2020,10275
3/2/2020,10950
3/9/2020,10975
3/16/2020,8975
3/23/2020,9975
3/30/2020,10000
4/6/2020,10100
4/13/2020,10200
4/20/2020,9900
4/27/2020,9875
5/4/2020,9625
5/11/2020,9700
5/18/2020,9600
5/25/2020,8150
6/1/2020,8625
6/8/2020,8600
6/15/2020,8925
6/22/2020,9225
6/29/2020,9425
7/6/2020,9225
7/13/2020,9275
7/20/2020,9175
7/27/2020,9200
8/3/2020,10175
8/10/2020,10175
8/17/2020,10100
8/24/2020,10325
8/31/2020,10300
9/7/2020,10250
9/14/2020,10175
9/21/2020,10050
9/28/2020,10075
10/5/2020,10050
10/12/2020,9750
10/19/2020,9725
10/26/2020,9650
11/2/2020,9875
11/9/2020,9700
11/16/2020,10100
11/23/2020,10600
11/30/2020,9950
12/7/2020,9825
12/14/2020,9700
12/21/2020,9525
12/28/2020,9575
1/4/2021,9525
1/11/2021,9375
1/18/2021,9475
1/25/2021,9100
2/1/2021,9225
2/8/2021,8975
2/15/2021,8600
2/22/2021,8575
3/1/2021,8500
3/8/2021,8375
3/15/2021,8825
3/22/2021,9100
3/29/2021,8950
4/5/2021,8875
4/12/2021,8950
4/19/2021,8875
4/26/2021,8700
5/3/2021,8450
5/10/2021,8525
5/17/2021,8325
5/24/2021,8125
5/31/2021,8450
6/7/2021,8175
6/14/2021,7750
6/21/2021,8025
6/28/2021,8425
7/5/2021,8550
7/12/2021,8575
7/19/2021,8650
7/26/2021,8125
8/2/2021,8275
8/9/2021,8200
8/16/2021,8150
8/23/2021,8300
8/30/2021,8475
9/6/2021,8500
9/13/2021,8150
9/20/2021,8300
9/27/2021,8325
10/4/2021,8900
10/11/2021,9275
10/18/2021,9100
10/25/2021,8800
11/1/2021,8800
11/8/2021,8950
11/15/2021,9025
11/22/2021,8875
11/29/2021,8700
12/6/2021,8850
12/13/2021,8800
12/20/2021,8725
12/27/2021,8700
1/3/2022,8875
1/10/2022,8750
1/17/2022,8675
1/24/2022,8675
1/31/2022,8625
2/7/2022,8650
2/14/2022,8525
2/21/2022,8500
2/28/2022,7825
3/7/2022,7550
3/14/2022,7575
3/21/2022,7250
3/28/2022,7525
4/4/2022,7450
4/11/2022,7175
4/18/2022,7300
4/25/2022,7625
5/2/2022,7625
5/9/2022,8175
5/16/2022,8050
5/23/2022,8625
5/30/2022,8575
6/6/2022,8500
6/13/2022,8550
6/20/2022,9425
6/27/2022,9350
7/4/2022,9425
7/11/2022,9350
7/18/2022,9400
7/25/2022,8825
8/1/2022,8800
8/8/2022,8675
8/15/2022,8700
8/22/2022,8725
8/29/2022,8725
9/5/2022,8450
9/12/2022,8650
9/19/2022,9000
9/26/2022,8650
10/3/2022,8900
10/10/2022,8700
10/17/2022,9425
10/24/2022,9800
10/31/2022,9650
11/7/2022,9850
11/14/2022,9650
11/21/2022,9900
11/28/2022,10200
12/5/2022,10150
12/12/2022,10425
12/19/2022,10025
12/26/2022,10000
1/2/2023,10175
1/9/2023,10450
1/16/2023,10500
1/23/2023,10000
1/30/2023,10475
2/6/2023,10300
2/13/2023,10350
2/20/2023,10175
2/27/2023,9725
3/6/2023,9750
3/13/2023,9550
3/20/2023,9975
3/27/2023,9975
4/3/2023,10075
4/10/2023,10250
4/17/2023,10200
4/24/2023,10575
5/1/2023,10875
5/8/2023,10875
5/15/2023,10950
5/22/2023,11200
5/29/2023,11700
6/5/2023,11375
6/12/2023,11200
6/19/2023,11175
6/26/2023,11325
7/3/2023,11275
7/10/2023,11775
7/17/2023,11500
7/24/2023,11200
7/31/2023,11250
8/7/2023,11475
8/14/2023,11700
8/21/2023,11425
8/28/2023,11200
