Tanggal,Kurs Jual
8/31/2023 12:00:00 AM,10462.62
8/30/2023 12:00:00 AM,10474.82
8/29/2023 12:00:00 AM,10491.79
8/28/2023 12:00:00 AM,10529.07
8/25/2023 12:00:00 AM,10547.9
8/24/2023 12:00:00 AM,10589.17
8/23/2023 12:00:00 AM,10568.57
8/22/2023 12:00:00 AM,10593.17
8/21/2023 12:00:00 AM,10591.04
8/18/2023 12:00:00 AM,10582.29
8/16/2023 12:00:00 AM,10575.83
8/15/2023 12:00:00 AM,10635.09
8/14/2023 12:00:00 AM,10581.69
8/11/2023 12:00:00 AM,10625.88
8/10/2023 12:00:00 AM,10665.85
8/9/2023 12:00:00 AM,10693.93
8/8/2023 12:00:00 AM,10733.11
8/7/2023 12:00:00 AM,10687.68
8/4/2023 12:00:00 AM,10688.59
8/3/2023 12:00:00 AM,10691.29
8/2/2023 12:00:00 AM,10644.28
8/1/2023 12:00:00 AM,10669.29
7/31/2023 12:00:00 AM,10845.26
7/28/2023 12:00:00 AM,10773.85
7/27/2023 12:00:00 AM,10740.96
7/26/2023 12:00:00 AM,10667.73
7/25/2023 12:00:00 AM,10675.11
7/24/2023 12:00:00 AM,10685.01
7/21/2023 12:00:00 AM,10792.23
7/20/2023 12:00:00 AM,10900.59
7/18/2023 12:00:00 AM,10877.77
7/17/2023 12:00:00 AM,10868.11
7/14/2023 12:00:00 AM,10881.08
7/13/2023 12:00:00 AM,10861.52
7/12/2023 12:00:00 AM,10846.19
7/11/2023 12:00:00 AM,10727.91
7/10/2023 12:00:00 AM,10620.46
7/7/2023 12:00:00 AM,10521.52
7/6/2023 12:00:00 AM,10453.15
7/5/2023 12:00:00 AM,10447.21
7/4/2023 12:00:00 AM,10435.23
7/3/2023 12:00:00 AM,10502.3
6/27/2023 12:00:00 AM,10545.48
6/26/2023 12:00:00 AM,10542.76
6/23/2023 12:00:00 AM,10570.07
6/22/2023 12:00:00 AM,10596
6/21/2023 12:00:00 AM,10663.28
6/20/2023 12:00:00 AM,10627.67
6/19/2023 12:00:00 AM,10640.22
6/16/2023 12:00:00 AM,10630.51
6/15/2023 12:00:00 AM,10694.78
6/14/2023 12:00:00 AM,10710.59
6/13/2023 12:00:00 AM,10717.21
6/12/2023 12:00:00 AM,10694.41
6/9/2023 12:00:00 AM,10718.89
6/8/2023 12:00:00 AM,10721.01
6/7/2023 12:00:00 AM,10715.81
6/6/2023 12:00:00 AM,10654.73
6/5/2023 12:00:00 AM,10789.27
5/31/2023 12:00:00 AM,10727.21
5/30/2023 12:00:00 AM,10714.8
5/29/2023 12:00:00 AM,10773.83
5/26/2023 12:00:00 AM,10780.37
5/25/2023 12:00:00 AM,10806.18
5/24/2023 12:00:00 AM,10802.19
5/23/2023 12:00:00 AM,10863.08
5/22/2023 12:00:00 AM,10866.28
5/19/2023 12:00:00 AM,10915.94
5/17/2023 12:00:00 AM,10963.5
5/16/2023 12:00:00 AM,10945.63
5/15/2023 12:00:00 AM,10997.52
5/12/2023 12:00:00 AM,10989.02
5/11/2023 12:00:00 AM,10958.91
5/10/2023 12:00:00 AM,10997.98
5/9/2023 12:00:00 AM,10951.66
5/8/2023 12:00:00 AM,11003.04
5/5/2023 12:00:00 AM,10921.84
5/4/2023 12:00:00 AM,10884.91
5/3/2023 12:00:00 AM,10740.3
5/2/2023 12:00:00 AM,10860.4
4/28/2023 12:00:00 AM,11079.78
4/27/2023 12:00:00 AM,11208.34
4/26/2023 12:00:00 AM,11124.64
4/18/2023 12:00:00 AM,11077.27
4/17/2023 12:00:00 AM,11149.27
4/14/2023 12:00:00 AM,11176.57
4/13/2023 12:00:00 AM,11164.5
4/12/2023 12:00:00 AM,11238.97
4/11/2023 12:00:00 AM,11338.67
4/10/2023 12:00:00 AM,11429.01
4/6/2023 12:00:00 AM,11422.23
4/5/2023 12:00:00 AM,11300.29
4/4/2023 12:00:00 AM,11278.69
4/3/2023 12:00:00 AM,11301.07
3/31/2023 12:00:00 AM,11428.7
3/30/2023 12:00:00 AM,11494.64
3/29/2023 12:00:00 AM,11561.91
3/28/2023 12:00:00 AM,11644.68
3/27/2023 12:00:00 AM,11717.92
3/24/2023 12:00:00 AM,11703.91
3/21/2023 12:00:00 AM,11780.43
3/20/2023 12:00:00 AM,11610.51
3/17/2023 12:00:00 AM,11643.44
3/16/2023 12:00:00 AM,11451.97
3/15/2023 12:00:00 AM,11578.2
3/14/2023 12:00:00 AM,11488.49
3/13/2023 12:00:00 AM,11407.75
3/10/2023 12:00:00 AM,11335.71
3/9/2023 12:00:00 AM,11296.56
3/8/2023 12:00:00 AM,11376.62
3/7/2023 12:00:00 AM,11329.48
3/6/2023 12:00:00 AM,11284.13
3/3/2023 12:00:00 AM,11224.39
3/2/2023 12:00:00 AM,11273.45
3/1/2023 12:00:00 AM,11199.33
2/28/2023 12:00:00 AM,11281.23
2/27/2023 12:00:00 AM,11339.23
2/24/2023 12:00:00 AM,11315.93
2/23/2023 12:00:00 AM,11359.25
2/22/2023 12:00:00 AM,11330.14
2/21/2023 12:00:00 AM,11370.91
2/20/2023 12:00:00 AM,11324.04
2/17/2023 12:00:00 AM,11396.46
2/16/2023 12:00:00 AM,11458.78
2/15/2023 12:00:00 AM,11540.5
2/14/2023 12:00:00 AM,11571.76
2/13/2023 12:00:00 AM,11687.3
2/10/2023 12:00:00 AM,11594.38
2/9/2023 12:00:00 AM,11606.54
2/8/2023 12:00:00 AM,11510.58
2/7/2023 12:00:00 AM,11472.76
2/6/2023 12:00:00 AM,11641.78
2/3/2023 12:00:00 AM,11616.53
2/2/2023 12:00:00 AM,11575.84
2/1/2023 12:00:00 AM,11581.06
1/31/2023 12:00:00 AM,11606.71
1/30/2023 12:00:00 AM,11584.49
1/27/2023 12:00:00 AM,11607.61
1/26/2023 12:00:00 AM,11523.79
1/25/2023 12:00:00 AM,11561.6
1/24/2023 12:00:00 AM,11787.62
1/20/2023 12:00:00 AM,11849.41
1/19/2023 12:00:00 AM,11687.68
1/18/2023 12:00:00 AM,11837.22
1/17/2023 12:00:00 AM,11797.79
1/16/2023 12:00:00 AM,11875.5
1/13/2023 12:00:00 AM,11737.35
1/12/2023 12:00:00 AM,11785.09
1/11/2023 12:00:00 AM,11855.42
1/10/2023 12:00:00 AM,11840.43
1/9/2023 12:00:00 AM,11698.31
1/6/2023 12:00:00 AM,11845.4
1/5/2023 12:00:00 AM,12050.28
1/4/2023 12:00:00 AM,12036.53
1/3/2023 12:00:00 AM,11951.02
1/2/2023 12:00:00 AM,11855.91
12/30/2022 12:00:00 AM,11816.77
12/29/2022 12:00:00 AM,11792.21
12/28/2022 12:00:00 AM,11842.35
12/27/2022 12:00:00 AM,11841.88
12/26/2022 12:00:00 AM,11836.24
12/23/2022 12:00:00 AM,11874.5
12/22/2022 12:00:00 AM,11905.99
12/21/2022 12:00:00 AM,11836.73
12/20/2022 12:00:00 AM,11562.16
12/19/2022 12:00:00 AM,11439.56
12/16/2022 12:00:00 AM,11567.12
12/15/2022 12:00:00 AM,11582.86
12/14/2022 12:00:00 AM,11455.94
12/13/2022 12:00:00 AM,11499.79
12/12/2022 12:00:00 AM,11482.87
12/9/2022 12:00:00 AM,11482.35
12/8/2022 12:00:00 AM,11426.87
12/7/2022 12:00:00 AM,11428.69
12/6/2022 12:00:00 AM,11464.35
12/5/2022 12:00:00 AM,11508.2
12/2/2022 12:00:00 AM,11495.7
12/1/2022 12:00:00 AM,11421.25
11/30/2022 12:00:00 AM,11450.68
11/29/2022 12:00:00 AM,11422.54
11/28/2022 12:00:00 AM,11345.44
11/25/2022 12:00:00 AM,11313.94
11/24/2022 12:00:00 AM,11175.37
11/23/2022 12:00:00 AM,11137.06
11/22/2022 12:00:00 AM,11203.36
11/21/2022 12:00:00 AM,11275.89
11/18/2022 12:00:00 AM,11322.49
11/17/2022 12:00:00 AM,11258.83
11/16/2022 12:00:00 AM,11228.07
11/15/2022 12:00:00 AM,11174.76
11/14/2022 12:00:00 AM,11029.59
11/11/2022 12:00:00 AM,10792.35
11/10/2022 12:00:00 AM,10812.56
11/9/2022 12:00:00 AM,10743.2
11/8/2022 12:00:00 AM,10688.94
11/7/2022 12:00:00 AM,10700.78
11/4/2022 12:00:00 AM,10653.29
11/3/2022 12:00:00 AM,10678.34
11/2/2022 12:00:00 AM,10631.63
11/1/2022 12:00:00 AM,10589.81
10/31/2022 12:00:00 AM,10617.71
10/28/2022 12:00:00 AM,10742.58
10/27/2022 12:00:00 AM,10660.4
10/26/2022 12:00:00 AM,10542.14
10/25/2022 12:00:00 AM,10497.79
10/24/2022 12:00:00 AM,10427.42
10/21/2022 12:00:00 AM,10446.99
10/20/2022 12:00:00 AM,10424.84
10/19/2022 12:00:00 AM,10437.29
10/18/2022 12:00:00 AM,10467.2
10/17/2022 12:00:00 AM,10486.07
10/14/2022 12:00:00 AM,10511.33
10/13/2022 12:00:00 AM,10569.79
10/12/2022 12:00:00 AM,10603.58
10/11/2022 12:00:00 AM,10573.17
10/10/2022 12:00:00 AM,10576.54
10/7/2022 12:00:00 AM,10560.77
10/6/2022 12:00:00 AM,10573.23
10/5/2022 12:00:00 AM,10614.2
10/4/2022 12:00:00 AM,10596.71
10/3/2022 12:00:00 AM,10610.04
9/30/2022 12:00:00 AM,10588.93
9/29/2022 12:00:00 AM,10594.94
9/28/2022 12:00:00 AM,10554.93
9/27/2022 12:00:00 AM,10565
9/26/2022 12:00:00 AM,10617.04
9/23/2022 12:00:00 AM,10365.81
9/22/2022 12:00:00 AM,10494.65
9/21/2022 12:00:00 AM,10486.99
9/20/2022 12:00:00 AM,10491.22
9/19/2022 12:00:00 AM,10466.15
9/16/2022 12:00:00 AM,10428.68
9/15/2022 12:00:00 AM,10467.34
9/14/2022 12:00:00 AM,10501.55
9/13/2022 12:00:00 AM,10442.68
9/12/2022 12:00:00 AM,10479.16
9/9/2022 12:00:00 AM,10415.46
9/8/2022 12:00:00 AM,10423.6
9/7/2022 12:00:00 AM,10567.55
9/6/2022 12:00:00 AM,10667.76
9/5/2022 12:00:00 AM,10676.24
9/2/2022 12:00:00 AM,10738.28
9/1/2022 12:00:00 AM,10770.81
